title,year,steam_annual_peak_ccu,source
Old School RuneScape,2021,4884,steamcharts/1343370
Old School RuneScape,2022,2317,steamcharts/1343370
Old School RuneScape,2023,2166,steamcharts/1343370
Old School RuneScape,2024,1872,steamcharts/1343370
Old School RuneScape,2025,2469,steamcharts/1343370
Old School RuneScape,2026(1-7),2289,steamcharts/1343370
EVE Online,2018,4636,steamcharts/8500
EVE Online,2019,8015,steamcharts/8500
EVE Online,2020,10229,steamcharts/8500
EVE Online,2021,6432,steamcharts/8500
EVE Online,2022,5889,steamcharts/8500
EVE Online,2023,8141,steamcharts/8500
EVE Online,2024,6901,steamcharts/8500
EVE Online,2025,6673,steamcharts/8500
EVE Online,2026(1-7),6376,steamcharts/8500
