title,year_month,peak_ccu,source
Destiny 2,2019-10,292314,steamcharts/1085660
Destiny 2,2019-11,195407,steamcharts/1085660
Destiny 2,2019-12,138593,steamcharts/1085660
Destiny 2,2020-01,108724,steamcharts/1085660
Destiny 2,2020-02,93065,steamcharts/1085660
Destiny 2,2020-03,117425,steamcharts/1085660
Destiny 2,2020-04,100645,steamcharts/1085660
Destiny 2,2020-05,76476,steamcharts/1085660
Destiny 2,2020-06,213681,steamcharts/1085660
Destiny 2,2020-07,122236,steamcharts/1085660
Destiny 2,2020-08,122520,steamcharts/1085660
Destiny 2,2020-09,97247,steamcharts/1085660
Destiny 2,2020-10,93741,steamcharts/1085660
Destiny 2,2020-11,241843,steamcharts/1085660
Destiny 2,2020-12,139723,steamcharts/1085660
Destiny 2,2021-01,79290,steamcharts/1085660
Destiny 2,2021-02,131640,steamcharts/1085660
Destiny 2,2021-03,87476,steamcharts/1085660
Destiny 2,2021-04,95209,steamcharts/1085660
Destiny 2,2021-05,187504,steamcharts/1085660
Destiny 2,2021-06,108306,steamcharts/1085660
Destiny 2,2021-07,116526,steamcharts/1085660
Destiny 2,2021-08,177734,steamcharts/1085660
Destiny 2,2021-09,147513,steamcharts/1085660
Destiny 2,2021-10,127770,steamcharts/1085660
Destiny 2,2021-11,76188,steamcharts/1085660
Destiny 2,2021-12,154358,steamcharts/1085660
Destiny 2,2022-01,78752,steamcharts/1085660
Destiny 2,2022-02,289895,steamcharts/1085660
Destiny 2,2022-03,229002,steamcharts/1085660
Destiny 2,2022-04,88326,steamcharts/1085660
Destiny 2,2022-05,178829,steamcharts/1085660
Destiny 2,2022-06,126948,steamcharts/1085660
Destiny 2,2022-07,103075,steamcharts/1085660
Destiny 2,2022-08,193209,steamcharts/1085660
Destiny 2,2022-09,149576,steamcharts/1085660
Destiny 2,2022-10,102690,steamcharts/1085660
Destiny 2,2022-11,60854,steamcharts/1085660
Destiny 2,2022-12,121413,steamcharts/1085660
Destiny 2,2023-01,96428,steamcharts/1085660
Destiny 2,2023-02,316651,steamcharts/1085660
Destiny 2,2023-03,312925,steamcharts/1085660
Destiny 2,2023-04,142128,steamcharts/1085660
Destiny 2,2023-05,192081,steamcharts/1085660
Destiny 2,2023-06,120394,steamcharts/1085660
Destiny 2,2023-07,87620,steamcharts/1085660
Destiny 2,2023-08,126261,steamcharts/1085660
Destiny 2,2023-09,145390,steamcharts/1085660
Destiny 2,2023-10,68148,steamcharts/1085660
Destiny 2,2023-11,94423,steamcharts/1085660
Destiny 2,2023-12,103607,steamcharts/1085660
Destiny 2,2024-01,58769,steamcharts/1085660
Destiny 2,2024-02,46511,steamcharts/1085660
Destiny 2,2024-03,74473,steamcharts/1085660
Destiny 2,2024-04,125545,steamcharts/1085660
Destiny 2,2024-05,116100,steamcharts/1085660
Destiny 2,2024-06,314379,steamcharts/1085660
Destiny 2,2024-07,100435,steamcharts/1085660
Destiny 2,2024-08,63464,steamcharts/1085660
Destiny 2,2024-09,41373,steamcharts/1085660
Destiny 2,2024-10,89512,steamcharts/1085660
Destiny 2,2024-11,53135,steamcharts/1085660
Destiny 2,2024-12,36896,steamcharts/1085660
Destiny 2,2025-01,36488,steamcharts/1085660
Destiny 2,2025-02,77252,steamcharts/1085660
Destiny 2,2025-03,67473,steamcharts/1085660
Destiny 2,2025-04,49891,steamcharts/1085660
Destiny 2,2025-05,59826,steamcharts/1085660
Destiny 2,2025-06,38074,steamcharts/1085660
Destiny 2,2025-07,108362,steamcharts/1085660
Destiny 2,2025-08,74961,steamcharts/1085660
Destiny 2,2025-09,54297,steamcharts/1085660
Destiny 2,2025-10,32553,steamcharts/1085660
Destiny 2,2025-11,22903,steamcharts/1085660
Destiny 2,2025-12,70905,steamcharts/1085660
Destiny 2,2026-01,29014,steamcharts/1085660
Destiny 2,2026-02,21466,steamcharts/1085660
Destiny 2,2026-03,14030,steamcharts/1085660
Destiny 2,2026-04,12852,steamcharts/1085660
Destiny 2,2026-05,28510,steamcharts/1085660
Destiny 2,2026-06,167867,steamcharts/1085660
Destiny 2,2026-07,93088,steamcharts/1085660
FFXIV,2017-01,11982,steamcharts/39210
FFXIV,2017-02,12450,steamcharts/39210
FFXIV,2017-03,11780,steamcharts/39210
FFXIV,2017-04,10062,steamcharts/39210
FFXIV,2017-05,11853,steamcharts/39210
FFXIV,2017-06,25599,steamcharts/39210
FFXIV,2017-07,22824,steamcharts/39210
FFXIV,2017-08,14218,steamcharts/39210
FFXIV,2017-09,12412,steamcharts/39210
FFXIV,2017-10,12435,steamcharts/39210
FFXIV,2017-11,10329,steamcharts/39210
FFXIV,2017-12,9105,steamcharts/39210
FFXIV,2018-01,10322,steamcharts/39210
FFXIV,2018-02,12637,steamcharts/39210
FFXIV,2018-03,12630,steamcharts/39210
FFXIV,2018-04,10903,steamcharts/39210
FFXIV,2018-05,11172,steamcharts/39210
FFXIV,2018-06,11264,steamcharts/39210
FFXIV,2018-07,11136,steamcharts/39210
FFXIV,2018-08,10272,steamcharts/39210
FFXIV,2018-09,11328,steamcharts/39210
FFXIV,2018-10,9691,steamcharts/39210
FFXIV,2018-11,10251,steamcharts/39210
FFXIV,2018-12,10222,steamcharts/39210
FFXIV,2019-01,14841,steamcharts/39210
FFXIV,2019-02,15759,steamcharts/39210
FFXIV,2019-03,16535,steamcharts/39210
FFXIV,2019-04,16750,steamcharts/39210
FFXIV,2019-05,18625,steamcharts/39210
FFXIV,2019-06,41190,steamcharts/39210
FFXIV,2019-07,38909,steamcharts/39210
FFXIV,2019-08,30359,steamcharts/39210
FFXIV,2019-09,21636,steamcharts/39210
FFXIV,2019-10,17309,steamcharts/39210
FFXIV,2019-11,19876,steamcharts/39210
FFXIV,2019-12,15898,steamcharts/39210
FFXIV,2020-01,17465,steamcharts/39210
FFXIV,2020-02,25612,steamcharts/39210
FFXIV,2020-03,23360,steamcharts/39210
FFXIV,2020-04,26373,steamcharts/39210
FFXIV,2020-05,26889,steamcharts/39210
FFXIV,2020-06,24417,steamcharts/39210
FFXIV,2020-07,24141,steamcharts/39210
FFXIV,2020-08,34086,steamcharts/39210
FFXIV,2020-09,30188,steamcharts/39210
FFXIV,2020-10,26240,steamcharts/39210
FFXIV,2020-11,20458,steamcharts/39210
FFXIV,2020-12,23767,steamcharts/39210
FFXIV,2021-01,24876,steamcharts/39210
FFXIV,2021-02,31117,steamcharts/39210
FFXIV,2021-03,27143,steamcharts/39210
FFXIV,2021-04,30178,steamcharts/39210
FFXIV,2021-05,37347,steamcharts/39210
FFXIV,2021-06,40067,steamcharts/39210
FFXIV,2021-07,67019,steamcharts/39210
FFXIV,2021-08,65329,steamcharts/39210
FFXIV,2021-09,52541,steamcharts/39210
FFXIV,2021-10,42623,steamcharts/39210
FFXIV,2021-11,42433,steamcharts/39210
FFXIV,2021-12,95102,steamcharts/39210
FFXIV,2022-01,65565,steamcharts/39210
FFXIV,2022-02,42254,steamcharts/39210
FFXIV,2022-03,29126,steamcharts/39210
FFXIV,2022-04,54905,steamcharts/39210
FFXIV,2022-05,43613,steamcharts/39210
FFXIV,2022-06,37861,steamcharts/39210
FFXIV,2022-07,37743,steamcharts/39210
FFXIV,2022-08,56616,steamcharts/39210
FFXIV,2022-09,48199,steamcharts/39210
FFXIV,2022-10,37718,steamcharts/39210
FFXIV,2022-11,32463,steamcharts/39210
FFXIV,2022-12,27313,steamcharts/39210
FFXIV,2023-01,47992,steamcharts/39210
FFXIV,2023-02,39958,steamcharts/39210
FFXIV,2023-03,35443,steamcharts/39210
FFXIV,2023-04,33821,steamcharts/39210
FFXIV,2023-05,44087,steamcharts/39210
FFXIV,2023-06,36308,steamcharts/39210
FFXIV,2023-07,37518,steamcharts/39210
FFXIV,2023-08,35044,steamcharts/39210
FFXIV,2023-09,29268,steamcharts/39210
