title,year_month,hours_watched_millions,avg_viewers_thousands,peak_viewers_thousands,hours_streamed_thousands,avg_channels,source
FFXIV,2019-08,3.3,4.4,27.2,311,418,sullygnome.com (Twitch API集計)
FFXIV,2021-07,26.0,34.9,222.1,559.4,752,sullygnome.com (Twitch API集計)
FFXIV,2021-12,12.4,16.7,81.7,745.5,1000,sullygnome.com (Twitch API集計)
FFXIV,2022-07,5.0,6.8,63.5,397.0,534,sullygnome.com (Twitch API集計)
FFXIV,2022-12,2.9,3.9,40.5,231.1,311,sullygnome.com (Twitch API集計)
FFXIV,2023-07,4.2,5.6,150.9,292.8,,sullygnome.com (Twitch API集計)
FFXIV,2023-12,2.7,3.6,32.4,221.1,297,sullygnome.com (Twitch API集計)
FFXIV,2024-07,14.5,19.5,108.9,635.2,854,sullygnome.com (Twitch API集計)
FFXIV,2024-08,5.8,7.8,28.3,489.0,658,sullygnome.com (Twitch API集計)
FFXIV,2024-12,4.8,6.5,21.7,401.4,540,sullygnome.com (Twitch API集計)
FFXIV,2025-07,2.7,3.7,20.8,192.5,259,sullygnome.com (Twitch API集計)
FFXIV,2025-12,6.3,8.5,30.5,318.8,429,sullygnome.com (Twitch API集計)
FFXIV,2026-04,4.9,6.8,153.7,252.1,350,sullygnome.com (Twitch API集計)
FFXIV,2026-06,7.7,10.8,64.2,440.4,612,sullygnome.com (Twitch API集計)
FFXIV,2026-07,5.2,7.0,90.9,324.2,436,sullygnome.com (Twitch API集計)
WoW,2021-07,47.5,63.9,315.1,1200,1600,sullygnome.com (Twitch API集計)
WoW,2021-12,22.4,30.1,76.3,777.7,1000,sullygnome.com (Twitch API集計)
WoW,2024-08,34.0,45.7,318.5,734.3,988,sullygnome.com (Twitch API集計)
WoW,2025-07,18.7,25.2,79.3,597.3,803,sullygnome.com (Twitch API集計)
WoW,2026-03,38.9,52.4,139.0,1000,1400,sullygnome.com (Twitch API集計)
WoW,2026-07,14.0,18.8,58.7,520.0,699,sullygnome.com (Twitch API集計)
