patch,release_date,generation,is_major,main_scenario_quests,side_quests,dungeons,trials_normal,trials_extreme,raid_tiers_normal,raid_tiers_savage,ultimate,alliance_raid,large_field_content,new_job,new_race,pvp_update,housing,graphics_update,other_major,minor_patches,minor_msq,minor_dungeons,minor_trials_normal,minor_trials_extreme,minor_raid_normal,minor_raid_savage,minor_ultimate,minor_large_field,minor_patch_content,source_grade
2.0,2013-08-27,2.x,1,160,,16,4,3,5,0,0,0,,9,0,0,0,1,新生（リブート）: 新グラフィックスエンジン/FATE/ギルドオーダー/マーケット/チョコボ/PS3対応/クラフター・ギャザラー刷新,2.01-2.05,0,0,0,0,0,0,0,0,調整のみ,B
2.1,2013-12-17,2.x,1,19,4,3,3,4,0,0,0,1,,0,0,1,1,0,クリスタルタワー実装/コンテンツルーレット/美容師/蛮族クエスト(シルフ・アマルジャ)/宝の地図,2.15-2.16,0,0,0,0,0,0,0,0,調整中心,B
2.2,2014-03-27,2.x,1,19,4,3,2,2,4,0,0,0,,0,0,0,1,0,ミラージュプリズム(ID投影)/リテイナーベンチャー/チャレンジログ/PS4対応/秘伝書,2.25-2.28,0,0,0,0,0,0,0,0,調整中心,B
2.3,2014-07-08,2.x,1,19,4,1,1,1,0,4,0,1,,0,0,1,1,0,モブハント/アイテムレベルシンク/マテリガ/チョコボ育成/フロントライン実装,2.35-2.38,0,0,0,0,0,0,0,0,ヒルディブランド続編,B
2.4,2014-10-28,2.x,1,19,7,3,2,1,4,0,0,0,,1,0,0,1,0,ハウジング区画倍増(720→1440)/詩学導入/DFペナルティ,2.45,0,0,0,0,0,0,0,0,ゾディアックウェポン,B
2.5,2015-01-20,2.x,1,8,5,1,1,0,0,0,0,1,,0,0,0,0,0,前後編分割(Part1のみ)。Part2は2.55,2.51/2.55/2.57,16,2,0,1,0,0,0,0,2.51 ゴールドソーサー実装(大型新システム)/2.55 MSQ Part2(16)+邪教排撃(2ID)+極オーディン,B
3.0,2015-06-23,3.x,1,94,,8,2,2,0,0,0,0,,3,1,0,0,0,Lv60/フライングマウント/収集品/FCエアシップ/スペシャリスト/Mac対応,3.01/3.05/3.07,0,0,0,0,4,4,0,0,3.01 機工城アレキサンダー起動編(4層)/3.05 同零式(4層)+PvPシールロック,B
3.1,2015-11-10,3.x,1,8,0,2,0,0,0,0,0,1,ディアデム諸島（探検手帳・エクスプロラトリーミッション）,0,0,0,0,0,ロード・オブ・ヴァーミニオン/ヴァヌヴァヌ族/エスティネスト,3.15/3.18,0,0,0,0,0,0,0,0,3.15 アニマウェポン+スコラ院サブクエ(4),B
3.2,2016-02-23,3.x,1,11,2,2,1,1,4,4,0,0,,0,0,0,0,0,ソロ用訓練(初心者の館)/メンター制度/ストーンヴィジル…/木人(SSS)/ヴァス族,3.21/3.25/3.26,0,0,0,0,0,0,0,0,3.21 ザ・フィースト実装(PvP大型),B
3.3,2016-06-07,3.x,1,6,7,2,1,1,0,0,0,1,,0,0,1,1,0,アクアポリス(宝の地図)/モーグリ族/レイドファインダー,3.35/3.38,0,0,0,0,0,0,0,0,アニマウェポン続編,B
3.4,2016-09-27,3.x,1,10,6,2,1,1,4,4,0,0,,0,0,1,1,0,冒険者小隊/死者の宮殿拡張(51-200階)/クロの空想手帳/WクロスホットバーW,3.45/3.46,0,0,0,0,0,0,0,0,アニマウェポン続編,B
3.5,2017-01-17,3.x,1,5,6,2,1,1,0,0,0,1,,0,0,1,0,0,前後編分割(Part1)。エギグラマラス/牙狼コラボ,3.55a/3.55b/3.56,3,0,0,0,0,0,0,1,3.55a/b MSQ Part2+ディアデム諸島リニューアル,B
4.0,2017-06-20,4.x,1,122,,8,3,2,0,0,0,0,,2,0,1,1,0,Lv70/ジョブゲージ/水泳・潜水/PvP全面刷新/新住宅街ゴブレットビュート(シロガネ),4.01/4.05/4.06,0,0,0,0,4,4,0,0,4.01 次元の狭間オメガ:デルタ編(4層)/4.05 同零式(4層),B
4.1,2017-10-10,4.x,1,11,1,1,0,1,0,0,0,1,,0,0,0,1,0,シロガネ販売開始/コマンドミッション/お得意様取引/クロスワールドフレンド,4.11/4.15/4.18,0,0,0,0,0,0,1,0,4.11 絶バハムート討滅戦(絶#1)/4.15 ライバルウィングズ実装(PvP大型),B
4.2,2018-01-30,4.x,1,8,,2,1,1,4,4,0,0,,0,0,1,1,0,ミラプリ大改修(ドレッサー/プレート)/潜水艦探索/ファッションチェック,4.25/4.26,0,0,0,0,0,0,0,1,4.25 禁断の地エウレカ:アネモス編(大規模フィールド新設),B
4.3,2018-05-22,4.x,1,7,,1,1,1,0,0,0,1,,0,0,0,0,0,ドマ町人地復興/クロニクルクエスト四聖獣奇譚/CWリンクシェル,4.31/4.35/4.36,0,0,0,0,0,0,1,1,4.31 絶アルテマウェポン破壊作戦(絶#2)/4.36 エウレカ:パゴス編,B
4.4,2018-09-18,4.x,1,7,,2,1,1,4,0,0,0,,0,0,0,0,0,創世詩学/ドマ復興第2期/ゴールドソーサーGATE追加,4.41/4.45/4.46,0,0,0,0,0,4,0,1,4.41 オメガ:アルファ編零式(4層)/4.45 エウレカ:ピューロス編,C
4.5,2019-01-08,4.x,1,5,,1,1,1,0,0,0,1,,1,0,1,0,0,前後編分割(Part1)。ドマ式麻雀/青魔道士(リミテッドジョブ)/隠された渓谷(ライバルウィングズ新マップ),4.51/4.55/4.56/4.57/4.58,2,0,0,0,0,0,0,1,4.55 エウレカ:ヒュダトス編+青魔Lv60/4.56 MSQ Part2(2),B
5.0,2019-07-02,5.x,1,106,,8,3,2,0,0,0,0,,2,2,0,0,0,Lv80/TP廃止/ステータス刷新/フェイス(NPC同行)/全マウント飛行対応,5.01/5.05/5.08,0,0,0,0,4,4,0,0,5.01 希望の園エデン:覚醒編(4層)/5.05 同零式(4層),B
5.1,2019-10-29,5.x,1,10,,1,0,1,0,0,0,1,,0,0,1,1,0,クラフター・ギャザラー大改修/演奏機能拡張/つよくてニューゲーム/フェローシップ/ピクシー族,5.11/5.15/5.18,0,0,0,0,0,0,1,0,5.11 絶アレキサンダー討滅戦(絶#1)+イシュガルド復興(大型新システム),B
5.2,2020-02-18,5.x,1,10,,1,1,2,4,4,0,0,,0,0,0,0,0,オーシャンフィッシング(新システム)/キタリ族/マテリア精製改修/新式製作改修,5.21/5.25,0,0,0,0,0,0,0,0,5.25 セイブ・ザ・クイーン武器/スカイスチールツール,B
5.3,2020-08-11,5.x,1,12,,1,1,1,0,0,0,1,,0,0,0,0,0,新生エオルゼアMSQ全面改修(大型)/新生エリア飛行解禁/製作練習/ドワーフ族/幻シヴァ,5.31/5.35,0,0,0,0,0,0,0,1,5.31 イシュガルド復興更新/5.35 南方ボズヤ戦線(大規模フィールド新設)+セイブ・ザ・クイーン,A
5.4,2020-12-08,5.x,1,10,,1,1,1,4,4,0,0,,0,0,0,0,0,エクスプローラーモード/採集収集品改修/新楽器4種/黙示録,5.41/5.45,0,0,0,0,0,0,0,1,5.45 グンヒルド・ディルーブラム(+零式) ボズヤ大型拡張,C
5.5,2021-04-13,5.x,1,6,,1,1,1,0,0,0,1,,0,0,0,0,0,前後編分割(Part1)。PS5版オープンベータ/高解像度UI(Win/PS5),5.55/5.57/5.58,5,0,0,0,0,0,0,1,5.55 ザトゥノル高原(Zadnor 大規模フィールド)+MSQ Part2(5),B
