fiscal_year,quarter,rev_cum_oku,op_cum_oku,rev_standalone_oku,op_standalone_oku,confidence,note
FY2017.3,Q1,,,56,,high,18q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2017.3,Q2,,,54,,high,18q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2017.3,Q3,,,56,,high,18q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2017.3,Q4,,,59,,high,18q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2018.3,Q1,,,93,,high,19q1slidesJPN.pdf(=18q1の第5棒と一致) より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2018.3,Q2,,,80,,high,19q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2018.3,Q3,,,76,,high,19q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2018.3,Q4,,,68,,high,19q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2019.3,Q1,,,63,,high,20q1slidesJPN.pdf(=19q1の第5棒と一致) より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2019.3,Q2,,,64,,high,20q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2019.3,Q3,,,65,,high,20q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2019.3,Q4,,,77,,high,20q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2020.3,Q1,,,88,,high,21q1slidesJPN.pdf(=20q1の第5棒と一致) より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2020.3,Q2,,,136,,high,21q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2020.3,Q3,,,86,,high,21q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2020.3,Q4,,,90,,high,21q1slidesJPN.pdf より棒グラフ印字ラベル（単独四半期）。営業利益は折れ線のみで数値ラベルなし
FY2021.3,Q1,101,,101,,medium,グラフ。クロスチェック1資料のみ
FY2021.3,Q2,209,,108,,medium,差分算出
FY2021.3,Q3,295,,86,,medium,差分算出
FY2021.3,Q4,398,,103,,high,差分算出
FY2022.3,Q1,116,,116,,high,
FY2022.3,Q2,277,,161,,high,差分算出
FY2022.3,Q3,482,,205,,high,差分算出。暁月のフィナーレ発売四半期
FY2022.3,Q4,622,,140,,high,差分算出
FY2023.3,Q1,141,,141,,high,
FY2023.3,Q2,286,,145,,high,差分算出
FY2023.3,Q3,405,,119,,high,差分算出
FY2023.3,Q4,533,291,128,,high,差分算出。営業利益は通期のみ
FY2024.3,Q1,110,44,110,44,high,
FY2024.3,Q2,239,93,129,49,high,差分算出
FY2024.3,Q3,348,144,109,51,high,差分算出
FY2024.3,Q4,473,193,125,49,high,差分算出
FY2025.3,Q1,125,66,125,66,high,
FY2025.3,Q2,324,131,199,65,high,差分算出。黄金のレガシー発売四半期
FY2025.3,Q3,440,173,116,42,high,差分算出
FY2025.3,Q4,555,219,115,46,high,差分算出
FY2026.3,Q1,96,36,96,36,high,
FY2026.3,Q2,199,78,103,42,high,差分算出
FY2026.3,Q3,304,119,105,41,high,差分算出
FY2026.3,Q4,410,151,106,32,high,差分算出
FY2027.3,Q1,127,36,127,36,high,8.0発表効果で増収。費用先行計上で利益横ばい
