expansion,launch_month,month_offset,year_month,peak_ccu,ratio_to_M0
5.0 漆黒,2019-07,-1,2019-06,41190,1.0586
5.0 漆黒,2019-07,0,2019-07,38909,1.0
5.0 漆黒,2019-07,1,2019-08,30359,0.7803
5.0 漆黒,2019-07,2,2019-09,21636,0.5561
5.0 漆黒,2019-07,3,2019-10,17309,0.4449
5.0 漆黒,2019-07,4,2019-11,19876,0.5108
5.0 漆黒,2019-07,5,2019-12,15898,0.4086
5.0 漆黒,2019-07,6,2020-01,17465,0.4489
6.0 暁月,2021-12,-1,2021-11,42433,0.4462
6.0 暁月,2021-12,0,2021-12,95102,1.0
6.0 暁月,2021-12,1,2022-01,65565,0.6894
6.0 暁月,2021-12,2,2022-02,42254,0.4443
6.0 暁月,2021-12,3,2022-03,29126,0.3063
6.0 暁月,2021-12,4,2022-04,54905,0.5773
6.0 暁月,2021-12,5,2022-05,43613,0.4586
6.0 暁月,2021-12,6,2022-06,37861,0.3981
7.0 黄金,2024-07,-1,2024-06,91883,1.1886
7.0 黄金,2024-07,0,2024-07,77305,1.0
7.0 黄金,2024-07,1,2024-08,52178,0.675
7.0 黄金,2024-07,2,2024-09,33098,0.4281
7.0 黄金,2024-07,3,2024-10,27243,0.3524
7.0 黄金,2024-07,4,2024-11,35733,0.4622
7.0 黄金,2024-07,5,2024-12,29878,0.3865
7.0 黄金,2024-07,6,2025-01,26119,0.3379
