company,title,fiscal_quarter,revenue_krw_bn,source,confidence
# --- 四半期・当時発表ベース（as-reported）。原単位 KRW MN を /1000 ---
NCSoft,Guild Wars 2,CY2022Q3,24.822,primary:NCSOFT 3Q23 Earnings Release PDF (static-brand.ncsoft.com/.../3Q23_PT_ENG.pdf) "Sales by Game",high
NCSoft,Guild Wars 2,CY2022Q4,22.704,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Guild Wars 2,CY2023Q1,20.442,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Guild Wars 2,CY2023Q2,19.248,primary:NCSOFT 3Q23 Earnings Release PDF / cross-checked NCSOFT IR Presentation Sep 2024,high
NCSoft,Guild Wars 2,CY2023Q3,20.977,primary:NCSOFT 3Q23 Earnings Release PDF / cross-checked Sep 2024 IR PT,high
NCSoft,Guild Wars 2,CY2023Q4,23.860,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Guild Wars 2,CY2024Q1,25.370,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Guild Wars 2,CY2024Q2,23.480,primary:NCSOFT IR Presentation Sep 2024 / cross-checked Aug 2025 IR PT,high
NCSoft,Guild Wars 2,CY2024Q3,19.016,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Guild Wars 2,CY2024Q4,24.720,primary:NCSOFT IR Presentation Aug 2025 / cross-checked 4Q25 PT,high
NCSoft,Guild Wars 2,CY2025Q1,19.259,primary:NCSOFT IR Presentation Aug 2025 / cross-checked 4Q25 PT,high
NCSoft,Guild Wars 2,CY2025Q2,15.803,primary:NCSOFT IR Presentation Aug 2025 / cross-checked 4Q25 PT,high
NCSoft,Guild Wars 2,CY2025Q3,18.387,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Guild Wars 2,CY2025Q4,28.940,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Lineage,CY2022Q3,25.467,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage,CY2022Q4,29.317,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage,CY2023Q1,24.506,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage,CY2023Q2,24.314,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage,CY2023Q3,26.402,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage,CY2023Q4,21.324,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Lineage,CY2024Q1,24.250,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Lineage,CY2024Q2,24.554,primary:NCSOFT IR Presentation Sep 2024 / Aug 2025 IR PT,high
NCSoft,Lineage,CY2024Q3,26.455,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Lineage,CY2024Q4,22.943,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage,CY2025Q1,22.300,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage,CY2025Q2,20.737,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage,CY2025Q3,25.157,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Lineage,CY2025Q4,25.049,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Lineage II,CY2022Q3,23.355,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage II,CY2022Q4,24.620,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage II,CY2023Q1,21.476,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage II,CY2023Q2,22.965,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage II,CY2023Q3,20.527,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Lineage II,CY2023Q4,22.310,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Lineage II,CY2024Q1,23.460,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Lineage II,CY2024Q2,21.221,primary:NCSOFT IR Presentation Sep 2024 / Aug 2025 IR PT,high
NCSoft,Lineage II,CY2024Q3,20.216,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Lineage II,CY2024Q4,20.569,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage II,CY2025Q1,19.089,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage II,CY2025Q2,22.708,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Lineage II,CY2025Q3,21.610,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Lineage II,CY2025Q4,22.866,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Aion,CY2022Q3,17.511,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Aion,CY2022Q4,20.474,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Aion,CY2023Q1,17.618,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Aion,CY2023Q2,15.816,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Aion,CY2023Q3,19.257,primary:NCSOFT 3Q23 Earnings Release PDF,high
NCSoft,Aion,CY2023Q4,15.203,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Aion,CY2024Q1,14.256,primary:NCSOFT IR Presentation Sep 2024,high
NCSoft,Aion,CY2024Q2,13.113,primary:NCSOFT IR Presentation Sep 2024 / Aug 2025 IR PT,high
NCSoft,Aion,CY2024Q3,11.820,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Aion,CY2024Q4,11.195,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Aion,CY2025Q1,8.499,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Aion,CY2025Q2,12.984,primary:NCSOFT IR Presentation Aug 2025 / 4Q25 PT,high
NCSoft,Aion,CY2025Q3,8.995,primary:NCSOFT 4Q25 Earnings Release PDF,high
NCSoft,Aion,CY2025Q4,5.326,primary:NCSOFT 4Q25 Earnings Release PDF,high
# --- 四半期・2026年5月遡及修正ベース（restated）。上の as-reported と重複期間あり ---
NCSoft,Guild Wars 2,CY2025Q1_restated,19.788,primary:NC IR Presentation May 2026,high
NCSoft,Guild Wars 2,CY2025Q2_restated,16.353,primary:NC IR Presentation May 2026,high
NCSoft,Guild Wars 2,CY2025Q3_restated,19.088,primary:NC IR Presentation May 2026,high
NCSoft,Guild Wars 2,CY2025Q4_restated,30.384,primary:NC IR Presentation May 2026,high
NCSoft,Guild Wars 2,CY2026Q1,32.625,primary:NC IR Presentation May 2026,high
NCSoft,Lineage,CY2025Q1_restated,24.512,primary:NC IR Presentation May 2026,high
NCSoft,Lineage,CY2025Q2_restated,22.296,primary:NC IR Presentation May 2026,high
NCSoft,Lineage,CY2025Q3_restated,27.436,primary:NC IR Presentation May 2026,high
NCSoft,Lineage,CY2025Q4_restated,26.674,primary:NC IR Presentation May 2026,high
NCSoft,Lineage,CY2026Q1,99.826,primary:NC IR Presentation May 2026 (incl. Lineage Classic launch),high
NCSoft,Lineage II,CY2025Q1_restated,27.101,primary:NC IR Presentation May 2026,high
NCSoft,Lineage II,CY2025Q2_restated,29.297,primary:NC IR Presentation May 2026,high
NCSoft,Lineage II,CY2025Q3_restated,28.461,primary:NC IR Presentation May 2026,high
NCSoft,Lineage II,CY2025Q4_restated,31.008,primary:NC IR Presentation May 2026,high
NCSoft,Lineage II,CY2026Q1,28.791,primary:NC IR Presentation May 2026,high
NCSoft,Aion,CY2025Q1_restated,11.630,primary:NC IR Presentation May 2026,high
NCSoft,Aion,CY2025Q2_restated,16.193,primary:NC IR Presentation May 2026,high
NCSoft,Aion,CY2025Q3_restated,12.461,primary:NC IR Presentation May 2026,high
