generation,gen_days,major_patches,metric,total_major_only,total_full_cycle,per_major_patch,per_year
2.x,665,6,main_scenario_quests,244,260,43.333,142.707
2.x,665,6,dungeons,27,29,4.833,15.917
2.x,665,6,trials_normal,13,13,2.167,7.135
2.x,665,6,trials_extreme,11,12,2.0,6.586
2.x,665,6,raid_tiers_normal,13,13,2.167,7.135
2.x,665,6,raid_tiers_savage,4,4,0.667,2.195
2.x,665,6,ultimate,0,0,0.0,0.0
2.x,665,6,alliance_raid,3,3,0.5,1.647
2.x,665,6,new_job,10,10,1.667,5.489
2.x,665,6,new_race,0,0,0.0,0.0
2.x,665,6,pvp_update,2,2,0.333,1.098
2.x,665,6,housing,4,4,0.667,2.195
2.x,665,6,graphics_update,1,1,0.167,0.549
2.x,665,6,large_field_new,0,0,0.0,0.0
3.x,728,6,main_scenario_quests,134,137,22.833,68.688
3.x,728,6,dungeons,18,18,3.0,9.025
3.x,728,6,trials_normal,6,6,1.0,3.008
3.x,728,6,trials_extreme,6,6,1.0,3.008
3.x,728,6,raid_tiers_normal,8,12,2.0,6.016
3.x,728,6,raid_tiers_savage,8,12,2.0,6.016
3.x,728,6,ultimate,0,0,0.0,0.0
3.x,728,6,alliance_raid,3,3,0.5,1.504
3.x,728,6,new_job,3,3,0.5,1.504
3.x,728,6,new_race,1,1,0.167,0.501
3.x,728,6,pvp_update,3,3,0.5,1.504
3.x,728,6,housing,2,2,0.333,1.003
3.x,728,6,graphics_update,0,0,0.0,0.0
3.x,728,6,large_field_new,1,2,0.333,1.003
4.x,742,6,main_scenario_quests,160,162,27.0,79.69
4.x,742,6,dungeons,15,15,2.5,7.379
4.x,742,6,trials_normal,7,7,1.167,3.443
4.x,742,6,trials_extreme,7,7,1.167,3.443
4.x,742,6,raid_tiers_normal,8,12,2.0,5.903
4.x,742,6,raid_tiers_savage,4,12,2.0,5.903
4.x,742,6,ultimate,0,2,0.333,0.984
4.x,742,6,alliance_raid,3,3,0.5,1.476
4.x,742,6,new_job,3,3,0.5,1.476
4.x,742,6,new_race,0,0,0.0,0.0
4.x,742,6,pvp_update,3,3,0.5,1.476
4.x,742,6,housing,3,3,0.5,1.476
4.x,742,6,graphics_update,0,0,0.0,0.0
4.x,742,6,large_field_new,0,4,0.667,1.968
5.x,799,6,main_scenario_quests,154,159,26.5,72.635
5.x,799,6,dungeons,13,13,2.167,5.939
5.x,799,6,trials_normal,7,7,1.167,3.198
5.x,799,6,trials_extreme,8,8,1.333,3.655
5.x,799,6,raid_tiers_normal,8,12,2.0,5.482
5.x,799,6,raid_tiers_savage,8,12,2.0,5.482
5.x,799,6,ultimate,0,1,0.167,0.457
5.x,799,6,alliance_raid,3,3,0.5,1.37
5.x,799,6,new_job,2,2,0.333,0.914
5.x,799,6,new_race,2,2,0.333,0.914
5.x,799,6,pvp_update,1,1,0.167,0.457
5.x,799,6,housing,1,1,0.167,0.457
5.x,799,6,graphics_update,0,0,0.0,0.0
5.x,799,6,large_field_new,0,3,0.5,1.37
6.x,938,6,main_scenario_quests,152,155,25.833,60.314
6.x,938,6,dungeons,13,13,2.167,5.059
6.x,938,6,trials_normal,7,8,1.333,3.113
6.x,938,6,trials_extreme,7,7,1.167,2.724
6.x,938,6,raid_tiers_normal,8,12,2.0,4.67
6.x,938,6,raid_tiers_savage,0,12,2.0,4.67
6.x,938,6,ultimate,0,2,0.333,0.778
6.x,938,6,alliance_raid,3,3,0.5,1.167
6.x,938,6,new_job,2,2,0.333,0.778
6.x,938,6,new_race,1,1,0.167,0.389
6.x,938,6,pvp_update,2,2,0.333,0.778
6.x,938,6,housing,3,3,0.5,1.167
6.x,938,6,graphics_update,0,0,0.0,0.0
6.x,938,6,large_field_new,1,1,0.167,0.389
7.x,913,6,main_scenario_quests,139,139,23.167,55.57
7.x,913,6,dungeons,13,13,2.167,5.197
7.x,913,6,trials_normal,7,7,1.167,2.798
7.x,913,6,trials_extreme,7,7,1.167,2.798
7.x,913,6,raid_tiers_normal,8,12,2.0,4.797
7.x,913,6,raid_tiers_savage,0,12,2.0,4.797
7.x,913,6,ultimate,0,3,0.5,1.199
7.x,913,6,alliance_raid,3,3,0.5,1.199
7.x,913,6,new_job,2,2,0.333,0.8
7.x,913,6,new_race,1,1,0.167,0.4
7.x,913,6,pvp_update,2,2,0.333,0.8
7.x,913,6,housing,2,2,0.333,0.8
7.x,913,6,graphics_update,1,1,0.167,0.4
7.x,913,6,large_field_new,1,5,0.833,1.999
