ym,usd,eur
2012-01,76.99,99.34
2012-02,78.41,103.67
2012-03,82.45,108.95
2012-04,81.56,107.33
2012-05,79.77,102.00
2012-06,79.30,99.41
2012-07,79.04,97.24
2012-08,78.69,97.49
2012-09,78.18,100.38
2012-10,78.99,102.35
2012-11,80.91,103.80
2012-12,83.65,109.63
2013-01,89.24,118.61
2013-02,93.24,124.60
2013-03,94.80,122.92
2013-04,97.73,127.16
2013-05,101.10,131.12
2013-06,97.46,128.61
2013-07,99.77,130.52
2013-08,97.85,130.33
2013-09,99.22,132.32
2013-10,97.86,133.45
2013-11,100.02,134.96
2013-12,103.48,141.65
2014-01,103.93,141.46
2014-02,102.15,139.48
2014-03,102.27,141.42
2014-04,102.58,141.58
2014-05,101.83,139.82
2014-06,102.08,138.78
2014-07,101.73,137.84
2014-08,102.97,137.14
2014-09,107.08,138.31
2014-10,108.00,136.96
2014-11,116.22,145.01
2014-12,119.41,147.27
2015-01,118.33,137.28
2015-02,118.59,134.70
2015-03,120.37,130.56
2015-04,119.58,128.99
2015-05,120.76,134.72
2015-06,123.77,138.75
2015-07,123.26,135.66
2015-08,123.21,137.15
2015-09,120.24,135.14
2015-10,120.08,134.72
2015-11,122.59,131.64
2015-12,121.86,132.52
2016-01,118.24,128.36
2016-02,115.08,127.62
2016-03,113.03,125.56
2016-04,109.94,124.62
2016-05,109.13,123.09
2016-06,105.73,118.84
2016-07,103.99,114.95
2016-08,101.34,113.55
2016-09,101.99,114.35
2016-10,103.82,114.42
2016-11,108.27,116.82
2016-12,115.99,122.27
2017-01,114.78,122.11
2017-02,113.11,120.40
2017-03,113.05,120.75
2017-04,110.13,117.97
2017-05,112.26,124.10
2017-06,110.94,124.54
2017-07,112.44,129.42
2017-08,109.94,129.90
2017-09,110.76,131.87
2017-10,112.96,132.85
2017-11,112.96,132.47
2017-12,113.03,133.72
2018-01,110.87,135.35
2018-02,107.97,133.47
2018-03,106.08,130.91
2018-04,107.45,132.07
2018-05,109.76,129.71
2018-06,110.04,128.44
2018-07,111.39,130.16
2018-08,111.09,128.30
2018-09,111.92,130.44
2018-10,112.83,129.65
2018-11,113.38,128.81
2018-12,112.53,127.95
2019-01,108.99,124.48
2019-02,110.39,125.31
2019-03,111.24,125.69
2019-04,111.73,125.57
2019-05,109.87,122.87
2019-06,108.12,122.04
2019-07,108.28,121.50
2019-08,106.33,118.27
2019-09,107.45,118.24
2019-10,108.15,119.42
2019-11,108.90,120.31
2019-12,109.25,121.27
2020-01,109.39,121.37
2020-02,109.99,119.99
2020-03,107.53,119.13
2020-04,107.96,117.39
2020-05,107.35,117.00
2020-06,107.56,121.05
2020-07,106.84,122.22
2020-08,106.05,125.42
2020-09,105.77,124.72
2020-10,105.27,123.87
2020-11,104.42,123.55
2020-12,103.85,126.20
2021-01,103.70,126.24
2021-02,105.38,127.42
2021-03,108.64,129.41
2021-04,109.15,130.40
2021-05,109.20,132.72
2021-06,110.14,132.77
2021-07,110.31,130.45
2021-08,109.85,129.27
2021-09,110.18,129.82
2021-10,113.12,131.21
2021-11,114.15,130.31
2021-12,113.89,128.71
2022-01,114.86,130.02
2022-02,115.23,130.62
2022-03,118.54,130.58
2022-04,125.98,136.55
2022-05,128.82,136.24
2022-06,133.93,141.57
2022-07,136.79,139.46
2022-08,135.27,136.85
2022-09,143.11,141.77
2022-10,147.20,144.88
2022-11,142.49,145.21
2022-12,135.25,143.05
2023-01,130.24,140.54
2023-02,132.76,142.32
2023-03,133.94,143.36
2023-04,133.41,146.18
2023-05,137.44,149.18
2023-06,141.27,153.07
2023-07,141.30,156.06
2023-08,144.85,158.03
2023-09,147.74,157.84
2023-10,149.61,158.01
2023-11,149.96,162.08
2023-12,144.13,157.26
2024-01,146.64,159.85
2024-02,149.50,161.33
2024-03,149.67,162.75
2024-04,153.52,164.74
2024-05,156.26,168.88
2024-06,157.90,170.04
2024-07,158.18,171.42
2024-08,146.34,161.25
2024-09,143.58,159.33
2024-10,149.70,163.23
2024-11,153.85,163.46
2024-12,153.78,161.09
2025-01,156.53,162.17
2025-02,152.02,158.27
2025-03,149.26,161.09
2025-04,144.50,161.84
2025-05,144.77,163.20
2025-06,144.54,166.41
2025-07,146.75,171.61
2025-08,147.71,171.80
2025-09,147.98,173.54
2025-10,151.30,176.23
2025-11,155.21,179.38
2025-12,155.96,182.59
2026-01,156.78,184.02
2026-02,155.12,183.39
2026-03,158.69,183.54
2026-04,159.34,186.18
2026-05,158.38,184.88
2026-06,160.77,185.14
