date,prev_date,window_days,raw_total,regime,new_scaled,returning_scaled,continuing_scaled,normalized_64d,flow_share,prev_window_days,continuing_dual_adj_64d
2017-07-15,2017-06-06,39,663496,Lv36以上,130689,90477,442331,805269,0.333,,
2017-10-01,2017-07-15,78,798081,Lv36以上,153847,96154,548080,753209,0.313,39,651716
2017-12-01,2017-10-01,61,651298,Lv36以上,64326,40204,546769,656439,0.16,78,503877
2018-01-27,2017-12-01,57,606584,Lv36以上,,,,,,61,
2018-03-03,2018-01-27,35,536830,Lv36以上,,,,,,57,
2018-05-19,2018-03-03,77,622312,Lv36以上,102018,112220,408073,586142,0.344,35,515503
2018-07-15,2018-05-19,57,577444,Lv36以上,81045,81045,415354,597350,0.281,77,396007
2018-09-15,2018-07-15,62,627361,Lv36以上,101187,101187,424986,633889,0.323,57,456721
2018-11-03,2018-09-15,49,547267,Lv36以上,60807,60807,425652,584496,0.222,62,481901
2019-01-01,2018-11-03,59,608109,Lv36以上,79752,119628,408729,625006,0.328,49,484145
2019-02-10,2019-01-01,40,597100,Lv36以上,72064,92653,432383,695930,0.276,59,544986
2019-06-13,2019-02-10,123,1009218,Lv36以上,232120,282581,494517,762329,0.51,40,482905
2019-07-29,2019-06-13,46,943325,Lv36以上,160566,100354,682405,1045424,0.277,123,558472
2019-10-23,2019-07-29,86,1185999,Lv36以上,179395,219260,787344,1084017,0.336,46,827204
2019-12-09,2019-10-23,47,964235,Lv36以上,160706,150662,652867,1076857,0.323,86,635950
2020-02-11,2019-12-09,64,1043684,Lv36以上,100354,120425,822905,1043684,0.212,47,963531
2020-04-08,2020-02-11,57,862032,Lv36以上,100236,110260,651536,887882,0.244,64,682750
2020-08-04,2020-04-08,118,1254294,Lv36以上,311065,270928,672302,987958,0.464,57,557092
2020-09-22,2020-08-04,49,969332,Lv60超,80778,151458,737096,1040425,0.24,118,600631
2020-12-05,2020-09-22,74,905772,Lv60超,129396,89582,686794,876180,0.242,49,742372
2021-02-07,2020-12-05,64,906740,Lv60超,100749,120899,685092,906740,0.244,74,636106
2021-04-11,2021-02-07,63,951307,Lv60超,120165,140193,690949,955440,0.274,64,695359
2021-07-18,2021-04-11,98,1207442,Lv60超,211302,231426,764713,1053842,0.367,63,648985
2021-11-05,2021-07-18,110,1624238,Lv60超,561465,330863,731910,1251083,0.549,98,473013
2022-01-03,2021-11-05,59,1347764,Lv60超,181043,120695,1046026,1373335,0.224,110,819636
2022-04-10,2022-01-03,97,1702744,Lv60超,433243,161207,1108295,1500509,0.349,59,976672
2022-06-27,2022-04-10,78,1363012,Lv60超,309775,206517,846720,1270344,0.379,97,632045
2022-08-20,2022-06-27,54,1314937,Lv60超,140528,301131,873279,1396726,0.336,78,845396
2022-10-16,2022-08-20,57,1455232,Lv60超,110397,451624,893211,1524252,0.386,54,1020897
2022-12-31,2022-10-16,76,1366712,Lv60超,149640,438944,778128,1273778,0.431,57,770203
2023-03-06,2022-12-31,65,1390090,Lv60超,100731,423071,866288,1382032,0.377,76,788505
2023-05-20,2023-03-06,75,1394967,Lv60超,,,,,,65,
2023-07-22,2023-05-20,63,1137275,Lv60超,81234,162468,893573,1141143,0.214,75,829268
2023-10-08,2023-07-22,78,1251692,Lv60超,111037,262452,878203,1184656,0.298,63,817298
2023-12-24,2023-10-08,77,1115937,Lv70超,100535,221177,794225,1061622,0.288,78,666186
2024-03-31,2023-12-24,98,1184165,Lv70超,80969,222664,880533,1078823,0.256,77,674448
2024-06-12,2024-03-31,73,1227096,Lv70超,99764,209504,917828,1188967,0.252,98,700031
2024-08-27,2024-06-12,76,1440977,Lv70超,120081,300204,1020692,1374616,0.292,73,890313
2024-11-04,2024-08-27,69,1150643,Lv70超,50028,100056,1000559,1139767,0.13,76,889010
2024-12-29,2024-11-04,55,1003091,Lv70超,47287,120733,835071,1030585,0.168,69,854318
2025-03-16,2024-12-29,77,994231,Lv70超,,,,,,55,
2025-05-25,2025-03-16,70,948098,Lv70超,50431,151292,746375,930807,0.213,77,654931
2025-07-27,2025-05-25,63,878336,Lv70超,,,,,,70,
2025-09-27,2025-07-27,62,881374,Lv70超,30047,190297,661030,888482,0.25,63,674973
2025-11-30,2025-09-27,64,824073,Lv70超,40199,130646,653229,824073,0.207,62,663913
2026-02-23,2025-11-30,85,934552,Lv70超,60949,213322,660281,866791,0.293,64,588763
2026-04-19,2026-02-23,55,771486,Lv70超,41702,62553,667231,788546,0.135,85,613608
2026-07-20,2026-04-19,92,955708,Lv80超,50836,284679,620193,853595,0.351,55,621387
