date,total_active_characters
2017-06-06,581437
2017-07-15,663496
2017-10-01,798081
2017-12-01,651298
2018-01-27,606584
2018-03-03,536830
2018-05-19,622312
2018-07-15,577444
2018-09-15,627361
2018-11-03,547267
2019-01-01,608109
2019-02-10,597100
2019-06-13,1009218
2019-07-29,943325
2019-10-23,1185999
2019-12-09,964235
2020-02-11,1043684
2020-04-08,862032
2020-08-04,1254294
2020-09-22,969332
2020-12-05,905772
2021-02-07,906740
2021-04-11,951307
2021-07-18,1207442
2021-11-05,1624238
2022-01-03,1347764
2022-04-10,1702744
2022-06-27,1363012
2022-08-20,1314937
2022-10-16,1455232
2022-12-31,1366712
2023-03-06,1390090
2023-05-20,1394967
2023-07-22,1137275
2023-10-08,1251692
2023-12-24,1115937
2024-03-31,1184165
2024-06-12,1227096
2024-08-27,1440977
2024-11-04,1150643
2024-12-29,1003091
2025-03-16,994231
2025-05-25,948098
2025-07-27,878336
2025-09-27,881374
2025-11-30,824073
2026-02-23,934552
2026-04-19,771486
2026-07-20,955708
