census_date,window_start,window_days,census,assigned_fy,assigned_q,mmo_rev_nominal_oku,fx_index,mmo_rev_cc_oku,yen_per_char_cc,is_expansion_quarter
2017-07-15,2017-06-06,39,663496,FY2018.3,Q1,93,0.988,93.5,14095,1
2017-10-01,2017-07-15,78,798081,FY2018.3,Q2,80,0.988,80.4,10080,0
2017-12-01,2017-10-01,61,651298,FY2018.3,Q3,76,0.988,76.4,11734,1
2018-01-27,2017-12-01,57,606584,FY2018.3,Q3,76,0.988,76.4,12599,1
2018-03-03,2018-01-27,35,536830,FY2018.3,Q4,68,0.988,68.4,12738,0
2018-05-19,2018-03-03,77,622312,FY2019.3,Q1,63,0.986,63.4,10190,0
2018-07-15,2018-05-19,57,577444,FY2019.3,Q1,63,0.986,63.4,10982,0
2018-09-15,2018-07-15,62,627361,FY2019.3,Q2,64,0.986,64.4,10269,0
2018-11-03,2018-09-15,49,547267,FY2019.3,Q3,65,0.986,65.4,11956,0
2019-01-01,2018-11-03,59,608109,FY2019.3,Q3,65,0.986,65.4,10759,0
2019-02-10,2019-01-01,40,597100,FY2019.3,Q4,77,0.986,77.5,12981,0
2019-06-13,2019-02-10,123,1009218,FY2020.3,Q1,88,0.957,89.9,8903,1
2019-07-29,2019-06-13,46,943325,FY2020.3,Q2,136,0.957,138.9,14721,1
2019-10-23,2019-07-29,86,1185999,FY2020.3,Q2,136,0.957,138.9,11709,1
2019-12-09,2019-10-23,47,964235,FY2020.3,Q3,86,0.957,87.8,9107,1
2020-02-11,2019-12-09,64,1043684,FY2020.3,Q4,90,0.957,91.9,8805,0
2020-04-08,2020-02-11,57,862032,FY2020.3,Q4,90,0.957,91.9,10660,0
2020-08-04,2020-04-08,118,1254294,FY2021.3,Q1,101,0.945,103.8,8272,0
2020-09-22,2020-08-04,49,969332,FY2021.3,Q2,108,0.947,110.9,11437,0
2020-12-05,2020-09-22,74,905772,FY2021.3,Q3,86,0.936,88.8,9800,0
2021-02-07,2020-12-05,64,906740,FY2021.3,Q4,103,0.951,105.5,11633,0
2021-04-11,2021-02-07,63,951307,FY2021.3,Q4,103,0.951,105.5,11088,0
2021-07-18,2021-04-11,98,1207442,FY2022.3,Q1,116,0.983,116.9,9683,0
2021-11-05,2021-07-18,110,1624238,FY2022.3,Q2,161,0.983,162.3,9991,0
2022-01-03,2021-11-05,59,1347764,FY2022.3,Q3,205,1.008,204.2,15154,1
2022-04-10,2022-01-03,97,1702744,FY2022.3,Q4,140,1.025,138.4,8127,0
2022-06-27,2022-04-10,78,1363012,FY2023.3,Q1,141,1.129,133.4,9788,0
2022-08-20,2022-06-27,54,1314937,FY2023.3,Q2,145,1.19,134.1,10198,0
2022-10-16,2022-08-20,57,1455232,FY2023.3,Q2,145,1.19,134.1,9215,0
2022-12-31,2022-10-16,76,1366712,FY2023.3,Q3,119,1.222,108.8,7964,0
2023-03-06,2022-12-31,65,1390090,FY2023.3,Q4,128,1.155,119.9,8627,0
2023-05-20,2023-03-06,75,1394967,FY2024.3,Q1,110,1.203,101.3,7260,0
2023-07-22,2023-05-20,63,1137275,FY2024.3,Q1,110,1.203,101.3,8905,0
2023-10-08,2023-07-22,78,1251692,FY2024.3,Q2,129,1.266,116.2,9287,0
2023-12-24,2023-10-08,77,1115937,FY2024.3,Q3,109,1.292,97.4,8731,0
2024-03-31,2023-12-24,98,1184165,FY2024.3,Q4,125,1.301,111.4,9409,1
2024-06-12,2024-03-31,73,1227096,FY2025.3,Q1,125,1.362,109.4,8915,1
2024-08-27,2024-06-12,76,1440977,FY2025.3,Q2,199,1.311,176.8,12271,1
2024-11-04,2024-08-27,69,1150643,FY2025.3,Q2,199,1.311,176.8,15367,1
2024-12-29,2024-11-04,55,1003091,FY2025.3,Q3,116,1.329,102.5,10220,0
2025-03-16,2024-12-29,77,994231,FY2025.3,Q4,115,1.326,101.7,10231,0
2025-05-25,2025-03-16,70,948098,FY2026.3,Q1,96,1.279,86.2,9088,0
2025-07-27,2025-05-25,63,878336,FY2026.3,Q1,96,1.279,86.2,9810,0
2025-09-27,2025-07-27,62,881374,FY2026.3,Q2,103,1.314,91.4,10373,0
2025-11-30,2025-09-27,64,824073,FY2026.3,Q3,105,1.372,91.6,11117,0
2026-02-23,2025-11-30,85,934552,FY2026.3,Q4,106,1.398,91.8,9823,0
2026-04-19,2026-02-23,55,771486,FY2026.3,Q4,106,1.398,91.8,11900,0
2026-07-20,2026-04-19,92,955708,FY2027.3,Q1,127,1.419,109.4,11443,1
