title,version,release_date,platform,famitsu_first_week_units,famitsu_period,cumulative_note,segment_booked,source_url,grade
DQX Ver.5 いばらの巫女と滅びの神 オンライン,5.0,2019-10-24,Switch,34836,2019-10-21..2019-10-27,,MMO(推定/未確認),https://www.famitsu.com/news/201910/30185995.html,準一次
DQX Ver.5 いばらの巫女と滅びの神 オンライン,5.0,2019-10-24,PS4,16898,2019-10-21..2019-10-27,2機種合計51734,MMO(推定/未確認),https://www.famitsu.com/news/201910/30185995.html,準一次
DQX Ver.6 天星の英雄たち オンライン,6.0,2021-11-11,Switch,22702,2021-11-08..2021-11-14,,MMO(推定/未確認),https://www.famitsu.com/news/202111/18241343.html,準一次
DQX Ver.6 天星の英雄たち オンライン,6.0,2021-11-11,PS4,11791,2021-11-08..2021-11-14,2機種合計34493(記事明記),MMO(推定/未確認),https://www.famitsu.com/news/202111/18241343.html,準一次
DQX Ver.7 未来への扉とまどろみの少女 オンライン,7.0,2024-03-21,Switch,17919,2024-03-18..2024-03-24,,MMO(推定/未確認),https://www.famitsu.com/news/202403/28338243.html,準一次
DQX Ver.7 未来への扉とまどろみの少女 オンライン,7.0,2024-03-21,PS4,7333,2024-03-18..2024-03-24,2機種合計25252(記事明記),MMO(推定/未確認),https://www.famitsu.com/news/202403/28338243.html,準一次
DQX Ver.8 時空の迷い子たち オンライン,8.0,2026-06-25,Windows/PS4/Switch,,2026-06-22..2026-06-28,DL版のみ発売のためファミ通実売集計対象外(TOP10圏外/10位は3353本),MMO(26q4/27q1スライドのMMO欄に明記),https://www.famitsu.com/article/202607/80137,準一次
DQX 目覚めし五つの種族 オフライン,offline,2022-09-15,Switch,144836,2022-09-12..2022-09-18,,HDゲーム(23q2スライドで明記),https://www.famitsu.com/news/202209/22276875.html,準一次
DQX 目覚めし五つの種族 オフライン,offline,2022-09-15,PS4,48100,2022-09-12..2022-09-18,,HDゲーム,https://www.famitsu.com/news/202209/22276875.html,準一次
DQX 目覚めし五つの種族 オフライン,offline,2022-09-15,PS5,28371,2022-09-12..2022-09-18,3機種合計221307(記事は22万307本と表記),HDゲーム,https://www.famitsu.com/news/202209/22276875.html,準一次
DQX 目覚めし五つの種族 オフライン,offline,2022-09-15,3機種合計,239000,2022-08-29..2022-09-25(月間),記事表記「3機種合計で23.9万本」,HDゲーム,https://www.famitsu.com/news/202210/04278216.html,準一次
DQX 目覚めし五つの種族 オフライン,offline,2022-09-15,Switch,58561,2022-09-26..2022-10-30(月間),10月月間2位,HDゲーム,https://www.famitsu.com/news/202211/09282186.html,準一次
