item_or_service,category,price_local,currency,tax,note,source_url,grade
ホームワールド変更サービス,オプションサービス,1887,JPY,込,1回につき。混雑→優遇、非特別優遇→特別優遇は無料。異なる物理DCへの変更も可能,https://jp.finalfantasyxiv.com/lodestone/playguide/option_service/world_transfer_service/,一次
Home World Transfer Service,オプションサービス,18.00,USD,-,per transfer。Congested→Preferred等は無料,https://na.finalfantasyxiv.com/lodestone/playguide/option_service/world_transfer_service/,一次
マウント「クルーズチェイサー」,オプションアイテム,3300,JPY,込,2022-02セール時2310円,https://www.famitsu.com/news/202202/14251269.html,準一次
マウント「ルナホエール」,オプションアイテム,4620,JPY,込,2022-02セール時3234円,https://www.famitsu.com/news/202202/14251269.html,準一次
マウント「SDSフェンリル」,オプションアイテム,3300,JPY,込,2022-02セール時2310円,https://www.famitsu.com/news/202202/14251269.html,準一次
オプションアイテム全般,オプションアイテム,,,,2022-02-14〜03-11に約190種以上をセール(オセアニアDCオープン記念),https://www.famitsu.com/news/202202/14251269.html,準一次
拡張パッケージ 黄金のレガシー 通常版,パッケージ,4620,JPY,込,2024-07-02発売。DL版のみ,https://www.famitsu.com/news/202403/26338070.html,準一次
拡張パッケージ 黄金のレガシー コレクターズエディション,パッケージ,6600,JPY,込,DL版のみ,https://www.famitsu.com/news/202403/26338070.html,準一次
拡張パッケージ 黄金のレガシー CE特別装丁版,パッケージ,23430,JPY,込,Windows/Mac版のみ,https://www.famitsu.com/news/202403/26338070.html,準一次
特別装丁コレクターズBOX(グッズのみ),グッズ,16830,JPY,込,ゲームソフト非同梱,https://www.famitsu.com/news/202403/26338070.html,準一次
拡張パッケージ 白銀のワンダラー,パッケージ,,JPY,,2027年1月発売予定。2026-04-27発表時点で価格未公表,https://prtimes.jp/main/html/rd/p/000000349.000128734.html,一次
