date_start,date_end,title,category,game,source,confidence,note
2013-08-24,,"FFXIV 2.0 新生エオルゼア アーリーアクセス開始",expansion,FFXIV,"Lucky Bancho「FF14のワールドとデータセンターの歴史」https://luckybancho.ldblog.jp/archives/56392508.html",中,"二次情報。公式Lodestone一次ソース未確認（要確認）。JST基準"
2013-08-27,,"FFXIV 2.0 新生エオルゼア 正式発売",expansion,FFXIV,"ja.Wikipedia／ffxiv.consolegameswiki.com Patches",高,"パッチ2.0公開日と同日。JST基準"
2015-06-19,,"FFXIV 3.0 蒼天のイシュガルド アーリーアクセス開始",expansion,FFXIV,"4Gamer 2015-06-17『アーリーアクセスは明日から』https://www.4gamer.net/games/278/G027835/20150617071/",高,"JST基準"
2015-06-23,,"FFXIV 3.0 蒼天のイシュガルド 正式発売",expansion,FFXIV,"ja.Wikipedia／consolegameswiki Patches（3.0）",高,"Mac版の提供開始も同日"
2017-06-16,,"FFXIV 4.0 紅蓮のリベレーター アーリーアクセス開始（18:00頃）",expansion,FFXIV,"4Gamer 2017-06-02 https://www.4gamer.net/games/360/G036007/20170602102/",高,"JST 18:00頃開始"
2017-06-20,,"FFXIV 4.0 紅蓮のリベレーター 正式発売",expansion,FFXIV,"PlayStation.Blog JP／consolegameswiki（4.0）",高,"パッチ4.0公開日と同日"
2019-06-28,,"FFXIV 5.0 漆黒のヴィランズ アーリーアクセス開始",expansion,FFXIV,"PlayStation.Blog JP 2019-06-28 https://blog.ja.playstation.com/2019/06/28/20190628-ffxiv/",高,"JST基準"
2019-07-02,,"FFXIV 5.0 漆黒のヴィランズ 正式発売",expansion,FFXIV,"consolegameswiki（5.0）／ja.Wikipedia",高,"パッチ5.0公開日と同日"
2021-12-03,,"FFXIV 6.0 暁月のフィナーレ アーリーアクセス開始",expansion,FFXIV,"公式「発売日変更のお知らせ」https://na.finalfantasyxiv.com/endwalker/notice/",高,"当初予定は2021-11-19。延期後の日付"
2021-12-07,,"FFXIV 6.0 暁月のフィナーレ 正式発売",expansion,FFXIV,"公式「発売日変更のお知らせ」https://na.finalfantasyxiv.com/endwalker/notice/",高,"当初予定は2021-11-23。延期後の日付"
2024-06-28,,"FFXIV 7.0 黄金のレガシー アーリーアクセス開始（18:00頃）",expansion,FFXIV,"Lodestone「アーリーアクセス 6月28日（金）18:00頃～」https://na.finalfantasyxiv.com/lodestone/topics/detail/d74d3b34018176cc730f5a3af94631bcc01912dd",高,"JST 18:00頃開始"
2024-07-02,,"FFXIV 7.0 黄金のレガシー 正式発売",expansion,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/4980",高,"パッチ7.0公開日と同日"
2027-01-01,,"FFXIV 8.0 白銀のワンダラー 発売（2027年1月予定・日付未定）",expansion,FFXIV,"公式ニュース 2026-04-27 https://jp.finalfantasy.com/news/5992",中,"「2027年1月」までしか公表されていない。日付は要確認。CSV上の日付は月頭を仮置きした便宜値であり実日付ではない"
2013-08-27,,"パッチ2.0 新生エオルゼア",major_patch,FFXIV,"consolegameswiki Patches",高,
2013-12-17,,"パッチ2.1 覚醒せし者たち",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2014-03-27,,"パッチ2.2 動乱の幕開け",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2014-07-08,,"パッチ2.3 デフェンダーズ・オブ・エオルゼア",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2014-10-28,,"パッチ2.4 氷結の幻想",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2015-01-20,,"パッチ2.5 混沌の渦動",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2015-06-23,,"パッチ3.0 蒼天のイシュガルド",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2015-11-10,,"パッチ3.1 光と闇の境界",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2016-02-23,,"パッチ3.2 運命の歯車",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2016-06-07,,"パッチ3.3 最期の咆哮",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2016-09-27,,"パッチ3.4 霊泉の首都",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2017-01-17,,"パッチ3.5 宿命の果て",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2017-03-28,,"パッチ3.56（フリートライアル無期限化を含む）",major_patch,FFXIV,"4Gamer 2017-03-28 https://www.4gamer.net/games/278/G027835/20170328061/",中,"JST 3/28。英語版wikiは3/27表記（現地時間基準）"
2017-06-20,,"パッチ4.0 紅蓮のリベレーター",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2017-07-04,,"パッチ4.01",major_patch,FFXIV,"eorzean.info https://www.eorzean.info/archives/2724598.html",中,"JST"
2017-07-18,,"パッチ4.05",major_patch,FFXIV,"eorzean.info",中,"JST"
2017-08-08,,"パッチ4.06",major_patch,FFXIV,"eorzean.info",中,"JST"
2017-08-29,,"パッチ4.06a",major_patch,FFXIV,"eorzean.info",中,"JST"
2017-10-10,,"パッチ4.1 英雄の帰還",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2017-10-24,,"パッチ4.11",major_patch,FFXIV,"eorzean.info",中,"JST"
2017-11-21,,"パッチ4.15",major_patch,FFXIV,"eorzean.info",中,"JST"
2017-12-12,,"パッチ4.18",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-01-30,,"パッチ4.2 暁光の刻",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2018-02-14,,"パッチ4.21",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-03-13,,"パッチ4.25",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-05-22,,"パッチ4.3 月下の華",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST。クロスワールドリンクシェル実装"
