generation,patch,date,days_since_prev_patch,title
2.x,2.0,2013-08-24,,FFXIV 2.0 新生エオルゼア アーリーアクセス開始
2.x,2.1,2013-12-17,115,パッチ2.1 覚醒せし者たち
2.x,2.2,2014-03-27,100,パッチ2.2 動乱の幕開け
2.x,2.3,2014-07-08,103,パッチ2.3 デフェンダーズ・オブ・エオルゼア
2.x,2.4,2014-10-28,112,パッチ2.4 氷結の幻想
2.x,2.5,2015-01-20,84,パッチ2.5 混沌の渦動
3.x,3.0,2015-06-19,150,FFXIV 3.0 蒼天のイシュガルド アーリーアクセス開始
3.x,3.1,2015-11-10,144,パッチ3.1 光と闇の境界
3.x,3.2,2016-02-23,105,パッチ3.2 運命の歯車
3.x,3.3,2016-06-07,105,パッチ3.3 最期の咆哮
3.x,3.4,2016-09-27,112,パッチ3.4 霊泉の首都
3.x,3.5,2017-01-17,112,パッチ3.5 宿命の果て
4.x,4.0,2017-06-16,150,FFXIV 4.0 紅蓮のリベレーター アーリーアクセス開始（18:00頃）
4.x,4.1,2017-10-10,116,パッチ4.1 英雄の帰還
4.x,4.2,2018-01-30,112,パッチ4.2 暁光の刻
4.x,4.3,2018-05-22,112,パッチ4.3 月下の華
4.x,4.4,2018-09-18,119,パッチ4.4 狂乱の前奏曲
4.x,4.5,2019-01-08,112,パッチ4.5 英雄への鎮魂歌
5.x,5.0,2019-06-28,171,FFXIV 5.0 漆黒のヴィランズ アーリーアクセス開始
5.x,5.1,2019-10-29,123,パッチ5.1 白き誓約、黒き密約
5.x,5.2,2020-02-18,112,パッチ5.2 追憶の彼方へ
5.x,5.3,2020-08-11,175,パッチ5.3 クリスタルの残光
5.x,5.4,2020-12-08,119,パッチ5.4 もう一つの未来
5.x,5.5,2021-04-13,126,パッチ5.5 黎明の死闘
6.x,6.0,2021-12-03,234,FFXIV 6.0 暁月のフィナーレ アーリーアクセス開始
6.x,6.1,2022-04-12,130,パッチ6.1 新たなる冒険
6.x,6.2,2022-08-23,133,パッチ6.2 幾星霜の思装
6.x,6.3,2023-01-10,140,パッチ6.3 天の祝祭、地の鳴動
6.x,6.4,2023-05-23,133,パッチ6.4 光明の剣
6.x,6.5,2023-10-03,133,パッチ6.5 光明の起点
7.x,7.0,2024-06-28,269,FFXIV 7.0 黄金のレガシー アーリーアクセス開始（18:00頃）
7.x,7.1,2024-11-12,137,パッチ7.1 クリスタルの追憶
7.x,7.2,2025-03-25,133,パッチ7.2 永久の探求者
7.x,7.3,2025-08-05,133,パッチ7.3
7.x,7.4,2025-12-16,133,パッチ7.4 霧の中の理想郷
7.x,7.5,2026-04-28,133,パッチ7.5 彼方に至る路
8.x,8.0,2027-01-01,248,FFXIV 8.0 白銀のワンダラー 発売（2027年1月予定・日付未定）
