period,basis,usdjpy_avg,eurjpy_avg,source,confidence
FY2013.3,fiscal_year,83.11,107.15,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2014.3,fiscal_year,100.24,134.37,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2015.3,fiscal_year,109.93,138.77,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2016.3,fiscal_year,120.14,132.57,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2017.3,fiscal_year,108.43,118.85,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2018.3,fiscal_year,110.86,129.71,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2019.3,fiscal_year,110.92,128.42,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2020.3,fiscal_year,108.75,120.83,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2021.3,fiscal_year,106.07,123.71,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2022.3,fiscal_year,112.38,130.57,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2023.3,fiscal_year,135.48,140.98,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2024.3,fiscal_year,144.63,156.8,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2025.3,fiscal_year,152.58,163.75,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2026.3,fiscal_year,150.78,174.8,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2027.3,fiscal_year,,,年度進行中(2026年6月までしか実績なし)のため未取得,none
FY2021.3-Q1,fiscal_quarter,107.62,118.48,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2021.3-Q2,fiscal_quarter,106.22,124.12,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
